CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,10440007202600001,202600001,2026-05-03,7,7,1,1,1,1,1,3,2026-05-03 22:36:04,2026-05-04 00:36:04,2026-05-04 01:36:04,14.013942679845789,77.95250107552226,Incident reported at Mangaluru hotspot.
2,10440001202600002,202600002,2026-06-30,1,1,1,2,2,2,1,1,2026-06-30 03:49:14,2026-06-30 05:49:14,2026-06-30 06:49:14,12.949102931836912,77.56692107381488,Incident reported at Bengaluru Urban hotspot.
3,10440013202600003,202600003,2026-06-07,13,13,1,1,1,1,1,5,2026-06-07 02:52:15,2026-06-07 04:52:15,2026-06-07 05:52:15,16.023647121416403,80.0176699487423,Incident reported at Belagavi hotspot.
4,10440007202600004,202600004,2025-09-12,7,7,1,1,1,1,1,3,2025-09-12 03:52:37,2025-09-12 05:52:37,2025-09-12 06:52:37,14.039217956770484,77.95869388326294,Incident reported at Mangaluru hotspot.
5,10440001202600005,202600005,2025-11-08,1,1,1,2,2,2,1,1,2025-11-08 22:46:17,2025-11-09 00:46:17,2025-11-09 01:46:17,12.963792181968527,77.5475797219438,Incident reported at Bengaluru Urban hotspot.
6,10440004202600006,202600006,2026-06-03,4,4,1,2,2,2,1,2,2026-06-03 01:09:52,2026-06-03 03:09:52,2026-06-03 04:09:52,12.97186379748036,77.00053552881033,Incident reported at Mysuru hotspot.
7,10440016202600007,202600007,2026-04-13,16,16,1,2,2,2,1,6,2026-04-13 01:42:07,2026-04-13 03:42:07,2026-04-13 04:42:07,16.952653596968386,80.96988376506866,Incident reported at Kalaburagi hotspot.
8,10440001202600008,202600008,2026-04-30,1,1,1,2,2,2,1,1,2026-04-30 06:16:12,2026-04-30 08:16:12,2026-04-30 09:16:12,12.986588443777952,77.59909414806032,Incident reported at Bengaluru Urban hotspot.
9,10440022202600009,202600009,2025-11-29,22,22,1,2,2,2,1,8,2025-11-29 20:36:19,2025-11-29 22:36:19,2025-11-29 23:36:19,18.97204406220407,83.0089265683876,Incident reported at Shivamogga hotspot.
10,10440001202600010,202600010,2025-08-21,1,1,1,2,2,2,1,1,2025-08-21 11:52:38,2025-08-21 13:52:38,2025-08-21 14:52:38,13.002543045667784,77.54524987596781,Incident reported at Bengaluru Urban hotspot.
11,10440001202600011,202600011,2025-12-19,1,1,1,2,2,2,1,1,2025-12-19 12:27:27,2025-12-19 14:27:27,2025-12-19 15:27:27,13.002181925183281,77.61441393949882,Incident reported at Bengaluru Urban hotspot.
12,10440013202600012,202600012,2025-07-20,13,13,1,1,1,1,1,5,2025-07-20 08:04:05,2025-07-20 10:04:05,2025-07-20 11:04:05,15.984025051651798,79.96554794998117,Incident reported at Belagavi hotspot.
13,10440007202600013,202600013,2025-07-11,7,7,1,1,1,1,1,3,2025-07-11 08:03:49,2025-07-11 10:03:49,2025-07-11 11:03:49,14.045721307220678,77.98365945451127,Incident reported at Mangaluru hotspot.
14,10440010202600014,202600014,2026-04-10,10,10,1,1,1,1,1,4,2026-04-10 23:06:08,2026-04-11 01:06:08,2026-04-11 02:06:08,14.959274584338015,78.95967163768334,Incident reported at Hubballi-Dharwad hotspot.
15,10440001202600015,202600015,2025-07-08,1,1,1,2,2,2,1,1,2025-07-08 09:39:48,2025-07-08 11:39:48,2025-07-08 12:39:48,13.006349436634746,77.60497260313669,Incident reported at Bengaluru Urban hotspot.
16,10440028202600016,202600016,2025-12-24,28,28,1,1,1,1,1,10,2025-12-24 13:18:31,2025-12-24 15:18:31,2025-12-24 16:18:31,21.030712827327438,85.02297317866937,Incident reported at Vijayapura hotspot.
17,10440010202600017,202600017,2025-07-25,10,10,1,1,1,1,1,4,2025-07-25 13:24:50,2025-07-25 15:24:50,2025-07-25 16:24:50,15.00362280914547,79.04731157639793,Incident reported at Hubballi-Dharwad hotspot.
18,10440013202600018,202600018,2025-08-30,13,13,1,2,2,2,1,5,2025-08-30 11:05:39,2025-08-30 13:05:39,2025-08-30 14:05:39,15.987853437720835,80.00520406312732,Incident reported at Belagavi hotspot.
19,10440010202600019,202600019,2026-06-21,10,10,1,2,2,2,1,4,2026-06-21 11:12:20,2026-06-21 13:12:20,2026-06-21 14:12:20,15.0329404664253,79.01185197523643,Incident reported at Hubballi-Dharwad hotspot.
20,10440010202600020,202600020,2026-03-08,10,10,1,1,1,1,1,4,2026-03-08 18:12:40,2026-03-08 20:12:40,2026-03-08 21:12:40,15.036170690031078,79.00773521452568,Incident reported at Hubballi-Dharwad hotspot.
21,10440013202600021,202600021,2025-07-23,13,13,1,1,1,1,1,5,2025-07-23 03:07:54,2025-07-23 05:07:54,2025-07-23 06:07:54,16.02045718362149,79.95458243836556,Incident reported at Belagavi hotspot.
22,10440010202600022,202600022,2025-12-16,10,10,1,2,2,2,1,4,2025-12-16 03:51:20,2025-12-16 05:51:20,2025-12-16 06:51:20,14.972789827565155,78.97893879636021,Incident reported at Hubballi-Dharwad hotspot.
23,10440028202600023,202600023,2025-12-31,28,28,1,2,2,2,1,10,2025-12-31 00:12:02,2025-12-31 02:12:02,2025-12-31 03:12:02,20.957979197692364,84.9732790886361,Incident reported at Vijayapura hotspot.
24,10440013202600024,202600024,2026-01-17,13,13,1,2,2,2,1,5,2026-01-17 04:54:28,2026-01-17 06:54:28,2026-01-17 07:54:28,15.960100142940973,79.97779736031102,Incident reported at Belagavi hotspot.
25,10440004202600025,202600025,2026-04-15,4,4,1,1,1,1,1,2,2026-04-15 02:27:59,2026-04-15 04:27:59,2026-04-15 05:27:59,13.01356844442644,76.986483217897,Incident reported at Mysuru hotspot.
26,10440004202600026,202600026,2025-08-22,4,4,1,2,2,2,1,2,2025-08-22 21:15:08,2025-08-22 23:15:08,2025-08-23 00:15:08,12.987018096711688,76.97095070307715,Incident reported at Mysuru hotspot.
27,10440007202600027,202600027,2026-03-07,7,7,1,1,1,1,1,3,2026-03-07 16:25:35,2026-03-07 18:25:35,2026-03-07 19:25:35,13.976697782204912,78.04366545877124,Incident reported at Mangaluru hotspot.
28,10440013202600028,202600028,2026-05-24,13,13,1,2,2,2,1,5,2026-05-24 16:34:13,2026-05-24 18:34:13,2026-05-24 19:34:13,16.01480353852466,80.0109131005667,Incident reported at Belagavi hotspot.
29,10440001202600029,202600029,2026-02-13,1,1,1,2,2,2,1,1,2026-02-13 04:30:58,2026-02-13 06:30:58,2026-02-13 07:30:58,12.93871386481981,77.61751267979504,Incident reported at Bengaluru Urban hotspot.
30,10440007202600030,202600030,2026-05-06,7,7,1,2,2,2,1,3,2026-05-06 09:21:05,2026-05-06 11:21:05,2026-05-06 12:21:05,13.966340249376193,77.98794554417576,Incident reported at Mangaluru hotspot.
31,10440016202600031,202600031,2026-04-02,16,16,1,2,2,2,1,6,2026-04-02 04:47:03,2026-04-02 06:47:03,2026-04-02 07:47:03,17.04895233506366,81.01399997598541,Incident reported at Kalaburagi hotspot.
32,10440007202600032,202600032,2026-03-21,7,7,1,2,2,2,1,3,2026-03-21 22:47:14,2026-03-22 00:47:14,2026-03-22 01:47:14,14.005694974377464,78.01846142509899,Incident reported at Mangaluru hotspot.
33,10440010202600033,202600033,2026-01-23,10,10,1,2,2,2,1,4,2026-01-23 15:35:56,2026-01-23 17:35:56,2026-01-23 18:35:56,15.03428519201898,79.02759999115463,Incident reported at Hubballi-Dharwad hotspot.
34,10440001202600034,202600034,2026-03-07,1,1,1,2,2,2,1,1,2026-03-07 22:52:33,2026-03-08 00:52:33,2026-03-08 01:52:33,12.944504807196411,77.5478100243904,Incident reported at Bengaluru Urban hotspot.
