CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,302,1,1
2,IPC,392,1,1
3,IPC,302,1,1
4,IPC,302,1,1
5,IPC,392,1,1
6,IPC,392,1,1
7,IPC,392,1,1
8,IPC,392,1,1
9,IPC,392,1,1
10,IPC,392,1,1
11,IPC,392,1,1
12,IPC,302,1,1
13,IPC,302,1,1
14,IPC,302,1,1
15,IPC,392,1,1
16,IPC,302,1,1
17,IPC,302,1,1
18,IPC,392,1,1
19,IPC,392,1,1
20,IPC,302,1,1
21,IPC,302,1,1
22,IPC,392,1,1
23,IPC,392,1,1
24,IPC,392,1,1
25,IPC,302,1,1
26,IPC,392,1,1
27,IPC,302,1,1
28,IPC,392,1,1
29,IPC,392,1,1
30,IPC,392,1,1
31,IPC,392,1,1
32,IPC,392,1,1
33,IPC,392,1,1
34,IPC,392,1,1
35,IPC,392,1,1
36,IPC,392,1,1
37,IPC,392,1,1
38,IPC,392,1,1
39,IPC,302,1,1
40,IPC,302,1,1
41,IPC,392,1,1
42,IPC,392,1,1
43,IPC,392,1,1
44,IPC,302,1,1
45,IPC,302,1,1
46,IPC,302,1,1
47,IPC,392,1,1
48,IPC,392,1,1
49,IPC,302,1,1
50,IPC,392,1,1
51,IPC,302,1,1
52,IPC,392,1,1
53,IPC,302,1,1
54,IPC,302,1,1
55,IPC,392,1,1
56,IPC,302,1,1
57,IPC,392,1,1
58,IPC,392,1,1
59,IPC,302,1,1
60,IPC,302,1,1
61,IPC,392,1,1
62,IPC,302,1,1
63,IPC,302,1,1
64,IPC,302,1,1
65,IPC,302,1,1
66,IPC,392,1,1
67,IPC,302,1,1
68,IPC,302,1,1
69,IPC,392,1,1
70,IPC,302,1,1
71,IPC,302,1,1
72,IPC,302,1,1
73,IPC,392,1,1
74,IPC,302,1,1
75,IPC,392,1,1
76,IPC,392,1,1
77,IPC,392,1,1
78,IPC,392,1,1
79,IPC,392,1,1
80,IPC,392,1,1
81,IPC,392,1,1
82,IPC,392,1,1
83,IPC,302,1,1
84,IPC,302,1,1
85,IPC,302,1,1
86,IPC,392,1,1
87,IPC,302,1,1
88,IPC,302,1,1
89,IPC,392,1,1
90,IPC,302,1,1
91,IPC,392,1,1
92,IPC,392,1,1
93,IPC,302,1,1
94,IPC,392,1,1
95,IPC,392,1,1
96,IPC,302,1,1
97,IPC,302,1,1
98,IPC,392,1,1
99,IPC,392,1,1
100,IPC,392,1,1
101,IPC,302,1,1
102,IPC,302,1,1
103,IPC,392,1,1
104,IPC,302,1,1
105,IPC,302,1,1
106,IPC,302,1,1
107,IPC,392,1,1
108,IPC,392,1,1
109,IPC,302,1,1
110,IPC,392,1,1
111,IPC,392,1,1
112,IPC,392,1,1
113,IPC,392,1,1
114,IPC,392,1,1
115,IPC,302,1,1
116,IPC,392,1,1
117,IPC,392,1,1
118,IPC,392,1,1
119,IPC,392,1,1
120,IPC,302,1,1
121,IPC,302,1,1
122,IPC,302,1,1
123,IPC,302,1,1
124,IPC,392,1,1
125,IPC,302,1,1
126,IPC,302,1,1
127,IPC,392,1,1
128,IPC,302,1,1
129,IPC,302,1,1
130,IPC,302,1,1
131,IPC,392,1,1
132,IPC,392,1,1
133,IPC,392,1,1
134,IPC,392,1,1
135,IPC,392,1,1
136,IPC,392,1,1
137,IPC,302,1,1
138,IPC,302,1,1
139,IPC,302,1,1
140,IPC,392,1,1
141,IPC,392,1,1
142,IPC,302,1,1
143,IPC,302,1,1
144,IPC,392,1,1
145,IPC,392,1,1
146,IPC,392,1,1
147,IPC,302,1,1
148,IPC,392,1,1
149,IPC,302,1,1
150,IPC,392,1,1
151,IPC,392,1,1
152,IPC,302,1,1
153,IPC,302,1,1
154,IPC,302,1,1
155,IPC,392,1,1
156,IPC,302,1,1
157,IPC,302,1,1
158,IPC,392,1,1
159,IPC,302,1,1
160,IPC,392,1,1
161,IPC,302,1,1
162,IPC,392,1,1
163,IPC,302,1,1
164,IPC,302,1,1
165,IPC,302,1,1
166,IPC,392,1,1
167,IPC,302,1,1
168,IPC,392,1,1
169,IPC,392,1,1
170,IPC,392,1,1
171,IPC,302,1,1
172,IPC,302,1,1
173,IPC,392,1,1
174,IPC,302,1,1
175,IPC,392,1,1
176,IPC,392,1,1
177,IPC,302,1,1
178,IPC,302,1,1
179,IPC,392,1,1
180,IPC,392,1,1
181,IPC,302,1,1
182,IPC,392,1,1
183,IPC,392,1,1
184,IPC,392,1,1
185,IPC,302,1,1
186,IPC,392,1,1
187,IPC,392,1,1
188,IPC,302,1,1
189,IPC,392,1,1
190,IPC,302,1,1
191,IPC,302,1,1
192,IPC,392,1,1
193,IPC,392,1,1
194,IPC,302,1,1
195,IPC,392,1,1
196,IPC,302,1,1
197,IPC,302,1,1
198,IPC,392,1,1
199,IPC,302,1,1
200,IPC,392,1,1
201,IPC,392,1,1
202,IPC,302,1,1
203,IPC,392,1,1
204,IPC,392,1,1
205,IPC,392,1,1
206,IPC,392,1,1
207,IPC,392,1,1
208,IPC,392,1,1
209,IPC,302,1,1
210,IPC,302,1,1
211,IPC,302,1,1
212,IPC,392,1,1
213,IPC,392,1,1
214,IPC,392,1,1
215,IPC,392,1,1
216,IPC,302,1,1
217,IPC,302,1,1
218,IPC,302,1,1
219,IPC,302,1,1
220,IPC,392,1,1
221,IPC,302,1,1
222,IPC,302,1,1
223,IPC,302,1,1
224,IPC,392,1,1
225,IPC,392,1,1
226,IPC,392,1,1
227,IPC,392,1,1
228,IPC,392,1,1
229,IPC,392,1,1
230,IPC,392,1,1
231,IPC,302,1,1
232,IPC,392,1,1
233,IPC,392,1,1
234,IPC,392,1,1
235,IPC,302,1,1
236,IPC,392,1,1
237,IPC,302,1,1
238,IPC,392,1,1
239,IPC,302,1,1
240,IPC,392,1,1
241,IPC,392,1,1
242,IPC,302,1,1
243,IPC,302,1,1
244,IPC,302,1,1
245,IPC,392,1,1
246,IPC,302,1,1
247,IPC,302,1,1
248,IPC,302,1,1
249,IPC,302,1,1
250,IPC,392,1,1
251,IPC,392,1,1
252,IPC,392,1,1
253,IPC,302,1,1
254,IPC,392,1,1
255,IPC,302,1,1
256,IPC,392,1,1
257,IPC,302,1,1
258,IPC,392,1,1
259,IPC,302,1,1
260,IPC,302,1,1
261,IPC,392,1,1
262,IPC,302,1,1
263,IPC,392,1,1
264,IPC,392,1,1
265,IPC,302,1,1
266,IPC,302,1,1
267,IPC,302,1,1
268,IPC,302,1,1
269,IPC,392,1,1
270,IPC,302,1,1
271,IPC,302,1,1
272,IPC,302,1,1
273,IPC,392,1,1
274,IPC,392,1,1
275,IPC,392,1,1
276,IPC,392,1,1
277,IPC,302,1,1
278,IPC,392,1,1
279,IPC,302,1,1
280,IPC,302,1,1
281,IPC,302,1,1
282,IPC,302,1,1
283,IPC,302,1,1
284,IPC,392,1,1
285,IPC,302,1,1
286,IPC,302,1,1
287,IPC,392,1,1
288,IPC,392,1,1
289,IPC,302,1,1
290,IPC,392,1,1
291,IPC,392,1,1
292,IPC,302,1,1
293,IPC,302,1,1
294,IPC,392,1,1
295,IPC,392,1,1
296,IPC,392,1,1
297,IPC,302,1,1
298,IPC,302,1,1
299,IPC,392,1,1
300,IPC,302,1,1
301,IPC,392,1,1
302,IPC,392,1,1
303,IPC,302,1,1
304,IPC,302,1,1
305,IPC,392,1,1
306,IPC,392,1,1
307,IPC,302,1,1
308,IPC,302,1,1
309,IPC,302,1,1
310,IPC,302,1,1
311,IPC,302,1,1
312,IPC,302,1,1
313,IPC,392,1,1
314,IPC,302,1,1
315,IPC,302,1,1
316,IPC,392,1,1
317,IPC,302,1,1
318,IPC,392,1,1
319,IPC,392,1,1
320,IPC,302,1,1
321,IPC,392,1,1
322,IPC,302,1,1
323,IPC,392,1,1
324,IPC,302,1,1
325,IPC,392,1,1
326,IPC,392,1,1
327,IPC,392,1,1
328,IPC,302,1,1
329,IPC,392,1,1
330,IPC,392,1,1
331,IPC,392,1,1
332,IPC,302,1,1
