UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Bengaluru Urban PS 1,1,,1,1,1,1
2,Bengaluru Urban PS 2,1,,1,1,1,1
3,Bengaluru Urban PS 3,1,,1,1,1,1
4,Mysuru PS 1,1,,1,1,2,1
5,Mysuru PS 2,1,,1,1,2,1
6,Mysuru PS 3,1,,1,1,2,1
7,Mangaluru PS 1,1,,1,1,3,1
8,Mangaluru PS 2,1,,1,1,3,1
9,Mangaluru PS 3,1,,1,1,3,1
10,Hubballi-Dharwad PS 1,1,,1,1,4,1
11,Hubballi-Dharwad PS 2,1,,1,1,4,1
12,Hubballi-Dharwad PS 3,1,,1,1,4,1
13,Belagavi PS 1,1,,1,1,5,1
14,Belagavi PS 2,1,,1,1,5,1
15,Belagavi PS 3,1,,1,1,5,1
16,Kalaburagi PS 1,1,,1,1,6,1
17,Kalaburagi PS 2,1,,1,1,6,1
18,Kalaburagi PS 3,1,,1,1,6,1
19,Ballari PS 1,1,,1,1,7,1
20,Ballari PS 2,1,,1,1,7,1
21,Ballari PS 3,1,,1,1,7,1
22,Shivamogga PS 1,1,,1,1,8,1
23,Shivamogga PS 2,1,,1,1,8,1
24,Shivamogga PS 3,1,,1,1,8,1
25,Tumakuru PS 1,1,,1,1,9,1
26,Tumakuru PS 2,1,,1,1,9,1
27,Tumakuru PS 3,1,,1,1,9,1
28,Vijayapura PS 1,1,,1,1,10,1
29,Vijayapura PS 2,1,,1,1,10,1
30,Vijayapura PS 3,1,,1,1,10,1
